CPF_EDUCADOR_FISICO,ID_ATIVIDADE
22257377977,7
22257377977,16
22257377977,3
62997756100,5
62997756100,15
19425758666,6
19425758666,4
19425758666,12
19425758666,15
19425758666,8
36611485911,11
73758574822,5
73758574822,6
73758574822,9
73758574822,7
89924298600,5
89924298600,7
89924298600,15
96017948166,15
96017948166,16
96017948166,12
43363697399,9
43363697399,16
43363697399,12
43363697399,1
43363697399,4
74578438255,3
74578438255,8
74578438255,9
74578438255,6
74578438255,13
15642578355,8
15642578355,10
15642578355,9
15642578355,1
83246889511,8
83246889511,2
58222718555,4
58222718555,10
58222718555,12
58222718555,14
58222718555,13
44015522299,7
44015522299,5
44015522299,15
44015522299,4
61625132466,8
50442092799,13
50442092799,16
50442092799,3
50442092799,5
50442092799,14
48004148300,8
48004148300,4
48004148300,7
84844863466,14
84844863466,8
84844863466,1
84844863466,15
84844863466,13
99513922611,16
99513922611,13
99513922611,15
99513922611,6
96193398511,4
96193398511,1
10001210977,15
10001210977,16
87207395677,9
87207395677,4
87207395677,3
80506318344,10
80506318344,1
84396325500,8
91782012333,13
91782012333,1
91782012333,10
91782012333,12
91782012333,8
92043796422,6
92043796422,5
92043796422,4
92043796422,11
92043796422,12
20009437211,6
15278841988,14
15278841988,11
15278841988,10
15278841988,13
98622944422,12
98622944422,4
39564212055,13
80752378899,15
36621768666,6
89986939500,3
89986939500,14
24483257900,15
24483257900,3
24483257900,5
86409752644,15
79838505499,16
79838505499,11
79838505499,5
24101810311,11
24101810311,16
24101810311,7
22105866744,9
22105866744,8
22105866744,6
22105866744,10
22105866744,16
39668655211,6
39668655211,7
39668655211,3
44368451333,3
88336505966,3
88336505966,16
88336505966,9
88336505966,10
34944831322,8
34944831322,15
17261293900,3
17261293900,11
17261293900,1
17261293900,4
17261293900,15
20002252766,3
20002252766,1
20002252766,8
20002252766,2
20002252766,9
19916408388,9
19916408388,13
19916408388,11
59794623922,11
59794623922,4
59794623922,16
59794623922,6
59794623922,8
59356036755,3
59356036755,6
59356036755,13
69071970811,13
80099191100,16
80099191100,6
22983306111,8
22983306111,2
15325588133,3
55929047700,13
55929047700,12
17671463377,1
17671463377,15
11811476200,8
11811476200,5
11811476200,4
13505450155,7
13505450155,4
51883269222,14
51883269222,16
51883269222,7
51883269222,5
51883269222,15
93210111700,4
93210111700,15
93210111700,12
93210111700,16
93210111700,8
70368896088,14
70368896088,16
70368896088,8
70368896088,6
41348996800,6
21129785866,2
21129785866,15
21129785866,3
21129785866,12
21129785866,13
42269812199,3
31926366100,12
31926366100,7
31926366100,6
31926366100,4
56234211644,2
56234211644,13
23549503577,6
23549503577,16
65378159400,2
65378159400,7
65378159400,5
51474268255,12
51474268255,11
51474268255,15
26940901766,4
26940901766,11
26940901766,1
63862341700,16
53599000911,2
53599000911,16
53599000911,7
53599000911,3
53599000911,6
74669596366,14
74669596366,8
74669596366,3
89619859222,5
39410072622,7
39410072622,14
58189044077,5
58189044077,4
58189044077,15
58189044077,2
10898525766,7
10898525766,8
89462190766,7
65250196055,15
65250196055,12
65250196055,2
65250196055,7
65250196055,3
86061726855,7
93040797800,13
93040797800,5
93040797800,9
93040797800,15
53439698100,12
53439698100,6
15219264099,11
15219264099,14
15219264099,12
15219264099,5
15219264099,9
38812628222,11
38812628222,10
38812628222,4
38812628222,12
38812628222,7
70519106122,7
56472337599,1
56472337599,9
56472337599,5
56472337599,7
56472337599,3
97001432011,14
97001432011,13
97001432011,2
97001432011,8
92028165733,6
92028165733,16
20580805488,14
20580805488,4
20580805488,8
20580805488,12
20580805488,10
