CPF_PARTICIPANTE,ID_ATIVIDADE,CPF_CONVIDANTE_INTERNO,DATA_INSCRICAO
93384057455,10,,2023-04-28
94585804399,11,65702870877,2023-04-27
94585804399,13,,2023-09-20
94585804399,5,,2023-03-27
83027593255,13,,2023-05-26
57600267122,1,,2023-07-23
83898379944,9,,2023-06-07
86374689699,15,,2023-12-24
86374689699,6,,2023-03-11
86374689699,13,83238912144,2023-12-25
88534706900,13,38367049866,2023-06-04
88534706900,15,,2023-02-23
88534706900,4,32142278155,2023-01-22
45432017100,5,,2023-09-19
45432017100,4,,2023-03-23
45432017100,13,,2023-12-26
97784968700,9,95785601500,2023-05-15
58885426288,1,,2023-03-23
58885426288,3,,2023-11-28
12513539599,13,77194467555,2023-02-11
56292492077,5,,2023-04-14
56292492077,4,25300708577,2023-10-11
87363554533,2,,2023-12-27
87363554533,9,62835454400,2023-10-13
87363554533,16,32114965566,2023-07-15
90815499100,6,,2023-12-02
90815499100,3,,2023-03-04
47515557666,10,94105226766,2023-01-13
36843379600,15,71705219622,2023-02-21
36843379600,4,78726633922,2023-11-05
36843379600,8,,2023-12-13
61064598355,3,,2023-05-25
61064598355,1,38315639266,2023-10-30
61064598355,6,48332062855,2023-04-26
35951096355,14,71572624100,2023-01-27
35951096355,10,13424564088,2023-08-25
35951096355,6,,2023-06-22
91723826511,14,89165857833,2023-09-07
84675481933,11,69721496577,2023-07-12
84675481933,1,,2023-05-20
84675481933,2,45600168366,2023-05-06
59571314588,4,,2023-10-31
74119099477,2,51378000077,2023-07-23
76633237266,12,11764379333,2023-07-06
57529770611,7,,2023-02-11
57529770611,15,26231166100,2023-07-28
68503691300,8,,2023-11-10
68503691300,9,,2023-10-27
27642111633,2,,2023-04-27
27642111633,11,,2023-02-14
86519979300,1,81754638722,2023-08-02
86519979300,14,,2023-02-04
85855339866,10,,2023-05-02
85855339866,7,,2023-12-16
98149300088,5,,2023-09-22
64475805455,14,,2023-09-05
46056260933,4,,2023-09-01
46056260933,5,40113019655,2023-11-18
46056260933,15,64795466877,2023-02-22
26788405577,3,88974882699,2023-05-26
26788405577,2,,2023-05-18
26788405577,14,80889443766,2023-05-31
50080512533,10,,2023-04-15
50080512533,14,88920080800,2023-03-04
50080512533,16,,2023-07-31
93089719200,10,65699535755,2023-06-25
93089719200,11,,2023-07-26
93089719200,15,,2023-02-06
50282499033,8,79815624499,2023-09-25
50282499033,16,,2023-12-29
50282499033,2,95702484166,2023-08-17
38276065944,2,26957572711,2023-05-08
81957245744,16,,2023-04-14
17975628355,5,,2023-02-09
17975628355,4,66894825611,2023-10-19
73494373900,8,,2023-08-28
73494373900,7,52777912300,2023-06-19
55597103699,11,21502374400,2023-10-08
29610782611,10,,2023-05-08
29610782611,13,48332062855,2023-06-23
29610782611,6,,2023-07-02
57810634988,12,42986747388,2023-08-21
57810634988,16,,2023-06-10
11284336488,3,,2023-11-13
11284336488,13,39551740933,2023-05-02
11284336488,12,,2023-10-12
82623259155,11,65895098244,2023-01-14
42356634377,10,,2023-02-03
42356634377,2,,2023-07-24
77252243944,2,,2023-03-06
77252243944,8,68757189100,2023-10-27
63532281122,1,10625532177,2023-04-02
63532281122,14,53889096544,2023-02-10
63532281122,6,,2023-12-27
19462455699,13,,2023-01-07
19462455699,1,,2023-02-02
19462455699,4,,2023-04-15
99930072777,12,62857063522,2023-12-26
99930072777,2,11607712277,2023-09-08
99930072777,3,37410315699,2023-02-09
90577530811,4,58285269444,2023-05-23
90577530811,13,,2023-08-16
81466410599,8,,2023-03-11
81466410599,10,,2023-08-19
81466410599,16,82312066200,2023-12-27
28463081522,4,15290869066,2023-01-01
28463081522,15,25191456411,2023-04-17
43674393722,7,43016472799,2023-07-21
43674393722,8,86384706066,2023-05-13
43674393722,9,,2023-05-28
44556861777,4,23752176244,2023-02-07
44556861777,13,,2023-07-04
37598458600,8,,2023-01-09
37598458600,15,,2023-07-27
37598458600,3,,2023-03-31
31542891199,15,,2023-11-30
39001441922,9,11681018088,2023-12-11
39001441922,6,59304370844,2023-03-06
13281348655,7,59626682944,2023-05-02
13281348655,15,60440667466,2023-03-16
46499972911,14,,2023-11-10
46499972911,9,,2023-08-21
46499972911,1,68015859088,2023-06-30
57693757444,9,10165575822,2023-02-26
31819565544,2,,2023-12-27
95309116022,7,63161869911,2023-06-26
95309116022,8,,2023-11-29
95309116022,15,17394004377,2023-05-29
95520719922,12,,2023-06-11
95520719922,1,,2023-07-01
95520719922,4,,2023-04-29
58862495166,5,,2023-06-13
21494809211,3,,2023-10-05
21915485122,7,,2023-05-08
21915485122,1,39438413088,2023-03-30
21915485122,10,,2023-07-23
58754821766,10,,2023-05-17
58754821766,3,,2023-07-25
58754821766,13,,2023-09-16
47567626544,7,,2023-01-21
47567626544,13,,2023-08-20
47567626544,14,36061277233,2023-03-17
39931661322,1,88823201466,2023-07-21
39931661322,14,,2023-10-11
39931661322,16,33056897144,2023-09-23
40190711600,8,85667400922,2023-09-12
38948693211,3,76160445655,2023-03-21
38948693211,15,70219899033,2023-01-21
15809343744,16,,2023-12-18
95972746044,13,,2023-01-07
95972746044,4,,2023-07-02
95972746044,11,57495502577,2023-03-19
34859692733,10,99429828500,2023-05-18
59086280266,1,36384165933,2023-05-30
59086280266,3,30383668977,2023-07-04
76918978044,4,,2023-05-14
76918978044,16,,2023-11-07
76918978044,1,,2023-08-15
74073938500,11,28363535700,2023-08-30
51276406355,4,,2023-07-30
23569945488,3,40580445600,2023-04-30
23569945488,15,,2023-06-12
23569945488,9,,2023-06-16
80633146200,4,21256318577,2023-11-11
58081928977,15,26792032911,2023-06-24
58081928977,5,,2023-09-27
58081928977,9,,2023-02-28
35970725699,1,,2023-02-01
35970725699,14,,2023-04-09
35970725699,16,,2023-04-09
66228823477,2,73556183933,2023-06-23
54972530755,7,,2023-05-02
82937691144,10,59041126100,2023-05-30
82937691144,1,,2023-10-04
98577942544,1,54242551088,2023-06-14
98577942544,4,70656280944,2023-10-01
98577942544,16,,2023-02-12
18272529799,6,,2023-03-26
19013987577,10,71710667033,2023-01-07
19013987577,7,,2023-03-05
19013987577,3,,2023-05-22
80971180099,7,75441636288,2023-11-07
80971180099,16,17676450744,2023-08-14
80971180099,3,,2023-07-16
13979751999,4,81556868333,2023-02-02
39379667577,3,19884471944,2023-09-09
39379667577,6,,2023-05-31
39379667577,2,99685987200,2023-01-09
66343913866,8,40032900700,2023-01-24
66343913866,16,,2023-05-27
66343913866,9,,2023-08-26
11851046077,13,,2023-04-28
29757661499,2,47863879911,2023-02-16
86207963722,1,77728881711,2023-07-03
86207963722,5,85674778677,2023-03-17
16490508877,8,30117669400,2023-09-02
11443402688,14,20984491511,2023-08-27
11443402688,5,57735843444,2023-08-21
60855493344,14,63946639566,2023-11-06
93096503977,4,,2023-12-10
54860454500,9,58339299111,2023-08-09
54860454500,16,,2023-02-14
18847066222,15,,2023-07-27
18847066222,2,,2023-07-03
18847066222,16,44114183399,2023-09-22
95152132744,4,27913003844,2023-03-16
95152132744,10,,2023-11-18
32260327399,8,,2023-01-19
40455791766,14,,2023-09-23
30343793666,9,40269505655,2023-07-17
59368975911,9,,2023-10-10
59368975911,11,35350599099,2023-04-06
56229449455,16,68883564699,2023-10-11
56229449455,4,,2023-05-24
56229449455,6,71377461522,2023-09-02
98568989600,14,96004372700,2023-07-03
98568989600,2,53571247444,2023-08-25
45392320022,12,50008039066,2023-08-21
52411453466,8,54260463522,2023-11-10
79596288400,14,64889524477,2023-01-06
79596288400,6,83295517766,2023-03-26
66928451144,8,,2023-08-04
66928451144,11,,2023-09-16
93513653877,8,,2023-01-20
93513653877,6,,2023-01-05
93513653877,1,51701008333,2023-07-04
32209324366,11,,2023-09-29
32209324366,7,96362505966,2023-11-02
90374248566,3,,2023-11-08
92890071099,14,47907609288,2023-12-05
92890071099,15,,2023-07-28
85238753877,9,,2023-09-04
85238753877,5,,2023-05-12
30316066555,6,70992167755,2023-01-03
30614245200,10,28661126444,2023-09-05
11586281611,16,,2023-02-08
11586281611,9,59422830100,2023-10-28
28402869122,3,,2023-12-12
28402869122,13,,2023-04-25
43649214244,8,25201757700,2023-05-18
43649214244,11,,2023-08-16
42059850888,11,,2023-01-26
42059850888,12,,2023-09-23
42059850888,6,,2023-03-20
67350012733,1,12025702400,2023-02-08
67350012733,7,96345192022,2023-12-01
57542004800,7,,2023-06-19
57542004800,1,,2023-11-22
24707414322,15,,2023-10-14
83830154022,11,,2023-10-23
83830154022,12,37062425755,2023-09-28
83830154022,8,,2023-09-19
65810191511,12,,2023-09-17
65810191511,15,21516413922,2023-07-25
65810191511,11,,2023-01-24
67256914200,9,,2023-07-21
67256914200,5,,2023-10-26
25262234077,7,,2023-03-27
25262234077,16,,2023-09-26
50350522577,1,,2023-01-14
23064445955,10,20131940566,2023-01-18
52143872611,10,,2023-11-09
52143872611,2,20211481300,2023-10-26
55260976844,1,,2023-10-23
55260976844,13,,2023-06-05
55260976844,10,,2023-12-07
53662452300,7,,2023-11-07
53662452300,4,,2023-10-01
44304948277,5,97857980111,2023-04-18
52101010888,13,89397807955,2023-06-13
52101010888,6,15488527599,2023-07-01
52101010888,4,61500290855,2023-06-23
16023958533,2,66353457955,2023-08-18
80106426900,8,22346263822,2023-08-04
80106426900,4,,2023-06-12
80106426900,14,20663378700,2023-02-14
41967522333,15,,2023-01-10
41967522333,7,50940453777,2023-07-08
78699268766,15,,2023-05-14
78699268766,14,,2023-08-14
78699268766,2,97425199600,2023-01-17
12043756588,3,,2023-12-19
12043756588,5,,2023-05-02
65219800922,2,88320876933,2023-03-06
65219800922,15,,2023-08-19
43856116533,8,,2023-07-17
43856116533,5,74004001000,2023-06-27
43856116533,2,63488778922,2023-08-09
39530077500,4,33278879500,2023-03-15
39530077500,7,19962989766,2023-10-12
52453933100,16,,2023-07-13
18251624688,10,35493196733,2023-02-21
18251624688,13,,2023-06-01
85266890455,3,95746921088,2023-05-26
88497657899,13,66039496600,2023-08-10
94202768211,8,,2023-06-03
94202768211,16,,2023-05-03
94202768211,7,94345384911,2023-09-26
28210871955,7,,2023-02-08
28210871955,12,93859477966,2023-06-03
30031458277,14,88119371755,2023-02-28
30031458277,15,46061012299,2023-02-01
30031458277,9,,2023-01-17
17048591666,3,52751927033,2023-10-09
40042083000,2,,2023-05-17
27637964199,3,,2023-12-05
27637964199,7,93700103944,2023-08-14
27637964199,12,46370488855,2023-09-24
25775694599,7,87416145777,2023-03-23
15319341022,6,,2023-07-07
42741847300,15,,2023-08-15
42741847300,4,,2023-02-08
42741847300,12,,2023-11-28
24131650455,13,13440843899,2023-07-14
24131650455,9,82121585788,2023-09-09
24131650455,7,,2023-02-07
78138935300,15,34261119500,2023-08-31
78138935300,16,,2023-02-17
78138935300,5,,2023-07-16
20837183133,15,55359229000,2023-12-03
20837183133,9,,2023-03-04
39412682100,10,35926223822,2023-06-26
39412682100,9,,2023-11-27
39412682100,14,,2023-06-23
31726092866,12,,2023-10-23
31726092866,13,33709667866,2023-07-24
19667033500,14,55288980800,2023-01-07
14381953544,13,18201069699,2023-11-22
14381953544,11,88550860733,2023-12-29
57264626966,12,56665045766,2023-05-30
15677220599,12,,2023-05-03
15677220599,6,,2023-08-08
15677220599,10,,2023-01-24
62188575300,5,,2023-01-21
24080556522,4,,2023-10-07
96970974966,9,,2023-06-30
77708773266,12,,2023-05-11
77708773266,3,,2023-05-11
77708773266,4,,2023-05-20
21085503566,13,,2023-06-08
36469029222,2,,2023-03-24
12420978055,11,,2023-08-24
12420978055,6,55806631888,2023-04-13
12420978055,13,,2023-03-02
55993646400,9,34494225533,2023-10-11
55993646400,10,30585926122,2023-07-27
17276991577,12,24076939811,2023-06-19
17276991577,8,,2023-02-27
17276991577,2,,2023-11-16
53106600544,2,11600192400,2023-08-15
72394197388,10,,2023-11-12
72394197388,11,36170752077,2023-05-14
72394197388,2,23459535600,2023-01-13
27432143922,9,75193589844,2023-05-27
27432143922,11,53197568600,2023-07-26
81156886811,5,,2023-12-23
81156886811,6,,2023-01-31
81156886811,13,,2023-02-22
84599326722,12,,2023-04-29
84599326722,6,,2023-12-05
84599326722,11,,2023-05-28
88312115366,9,56477589677,2023-07-17
88312115366,12,,2023-06-24
47683858000,16,46492497833,2023-01-12
51217288400,5,19113420533,2023-01-30
51217288400,8,71790188055,2023-02-19
51217288400,9,,2023-07-30
58782104366,8,61652589133,2023-11-18
58782104366,9,,2023-05-11
58782104366,4,77563230688,2023-02-22
55650427399,7,,2023-07-15
55650427399,3,99474773555,2023-09-05
34094976844,4,96834407544,2023-01-10
34094976844,1,18396190155,2023-07-26
34094976844,2,,2023-02-07
21883458000,4,,2023-10-12
27043828911,9,60526311633,2023-07-09
27043828911,11,31140910677,2023-11-30
27043828911,12,72639043655,2023-10-30
42689055022,12,,2023-06-07
42689055022,13,,2023-05-30
93217109066,5,,2023-12-18
93217109066,8,15129371000,2023-11-01
85737365500,10,32555329300,2023-11-12
86135912644,6,35712573166,2023-01-16
86135912644,16,,2023-12-03
63654628322,7,21314968344,2023-04-03
63654628322,2,,2023-01-25
63654628322,9,,2023-03-29
34304599666,3,,2023-04-19
63409088100,12,18529209633,2023-04-04
63409088100,8,,2023-08-22
63409088100,9,,2023-09-29
76691876111,2,75455124488,2023-05-21
76691876111,6,96529658122,2023-05-06
76691876111,15,12004899699,2023-04-23
67065392444,6,,2023-02-23
67065392444,12,28614241688,2023-06-06
23155885022,1,,2023-03-09
23155885022,8,,2023-01-08
23155885022,12,,2023-05-15
74933968255,14,22272403933,2023-08-06
52530909911,2,63667265588,2023-03-27
52530909911,3,46701280000,2023-07-06
72642421700,4,,2023-11-18
72642421700,8,,2023-10-31
72642421700,13,,2023-01-04
32966832322,10,,2023-01-30
32966832322,11,28674191233,2023-11-12
32966832322,16,,2023-06-29
79011040900,4,77170478377,2023-12-04
79011040900,5,11008717211,2023-04-23
79011040900,15,32456237200,2023-06-28
86565171122,15,,2023-04-22
13342727433,5,42548784355,2023-03-17
13342727433,12,63309270222,2023-09-01
13342727433,2,91693164733,2023-10-22
47094213077,14,,2023-10-06
47094213077,6,,2023-09-01
21837165333,1,,2023-10-30
21837165333,10,60127905033,2023-06-19
25210323444,3,17740136900,2023-07-22
34853691100,2,,2023-12-13
34853691100,13,88112506177,2023-04-14
34853691100,12,22717032200,2023-10-06
83519094833,14,27152007900,2023-11-17
41346167277,16,99527172377,2023-08-19
12777761488,11,36974097355,2023-11-17
12777761488,13,,2023-06-09
12777761488,4,,2023-03-25
48429027288,7,22946889533,2023-09-01
48429027288,5,,2023-02-14
11534062411,9,,2023-09-04
66496813266,13,43241227922,2023-05-12
66496813266,9,,2023-12-09
66496813266,12,,2023-11-24
56124170711,3,29478738744,2023-10-24
56124170711,5,,2023-06-05
65428060833,4,11260416100,2023-10-26
65428060833,12,66624091111,2023-06-23
65428060833,1,,2023-06-09
84401121144,15,81178396600,2023-03-01
20462143400,10,71474185811,2023-07-03
25746919111,8,,2023-03-01
85907382800,8,93309429899,2023-12-01
85907382800,5,,2023-03-02
85907382800,6,97422783933,2023-07-21
55459978900,6,45510529577,2023-09-11
55459978900,2,20055224144,2023-03-26
55459978900,11,,2023-11-16
20981858800,10,12622291388,2023-09-23
20981858800,1,,2023-11-10
65850311488,10,,2023-02-08
65850311488,16,55302764666,2023-09-18
23272504044,6,93655787444,2023-12-12
23272504044,8,59410115200,2023-11-17
72893101288,15,14343964522,2023-08-13
37584260144,6,,2023-04-04
37584260144,11,36204859177,2023-02-11
37584260144,9,78563130800,2023-10-08
32034713100,8,63509864155,2023-07-12
32034713100,5,,2023-01-12
66883387422,5,,2023-04-03
66883387422,4,,2023-02-18
66883387422,14,48767106277,2023-05-20
30165556388,10,,2023-04-13
30165556388,3,83575939411,2023-12-16
30165556388,15,,2023-11-28
27680367811,11,,2023-10-18
27680367811,10,67854746044,2023-10-10
26952125855,2,,2023-11-29
96839698100,12,,2023-02-25
96839698100,2,,2023-06-19
75139215555,2,,2023-04-29
75139215555,10,99044233422,2023-05-01
90138201744,2,53395688655,2023-05-11
99722337666,8,62425949355,2023-07-29
73321794155,6,,2023-02-23
73321794155,11,57332467155,2023-04-15
73321794155,8,96360133733,2023-07-28
54233225022,8,,2023-09-14
34343739933,1,,2023-03-26
57275684800,8,,2023-10-18
57275684800,5,54701195999,2023-11-17
92658849833,6,,2023-07-26
92658849833,14,,2023-07-03
92658849833,16,,2023-08-26
37667641600,16,11832773699,2023-04-02
37667641600,6,,2023-12-30
37667641600,2,78510520844,2023-08-06
74878606399,12,58750418622,2023-03-13
74878606399,9,86904836833,2023-07-19
45496247100,12,87387793822,2023-05-07
23941439599,3,,2023-10-24
79434913199,5,,2023-08-29
58335993000,7,,2023-05-17
58335993000,5,83136965322,2023-02-14
58335993000,15,,2023-07-18
44653075788,2,40000873044,2023-12-09
44653075788,7,,2023-11-03
44653075788,10,60765041888,2023-12-14
11284099177,14,,2023-09-08
11284099177,5,,2023-05-10
11284099177,12,,2023-03-09
69881075099,11,75099011033,2023-11-14
95589409177,13,57948163255,2023-03-27
95589409177,15,78390707100,2023-06-17
95589409177,4,,2023-08-15
29912048500,1,,2023-09-11
87592263311,8,62972400199,2023-07-09
87592263311,6,,2023-08-15
87592263311,5,,2023-01-09
55618130722,10,86775815611,2023-08-18
55618130722,14,90730842299,2023-11-16
55618130722,8,,2023-09-24
53966277000,13,,2023-03-13
77425704911,4,,2023-12-05
77425704911,15,,2023-07-10
53522816044,10,95947328066,2023-07-04
53522816044,3,,2023-08-12
87479120577,8,,2023-08-01
87479120577,1,,2023-11-02
35059923566,13,81357068555,2023-06-03
35059923566,3,,2023-10-14
35059923566,9,10429907788,2023-05-10
53335645400,13,,2023-02-25
53335645400,7,79460882566,2023-05-02
76953954988,8,,2023-04-13
76953954988,2,18980669222,2023-06-06
76953954988,10,98469878544,2023-02-13
77372215144,9,,2023-01-11
90435619677,5,76461017611,2023-05-17
90435619677,1,50950832211,2023-03-30
31234083455,10,,2023-08-16
31234083455,13,92426265466,2023-04-21
31234083455,14,49896136277,2023-06-07
37997055200,16,,2023-02-19
37997055200,8,47185039222,2023-08-19
37997055200,4,,2023-12-05
88319584100,8,16936814555,2023-07-23
88319584100,7,,2023-10-04
25846381422,5,,2023-07-23
25846381422,4,57966926233,2023-11-06
23151408200,4,62382449255,2023-11-18
23151408200,11,41391451299,2023-04-06
55742953777,1,,2023-07-05
55742953777,8,34289964611,2023-06-20
76256862566,14,,2023-03-22
50467503922,2,98037223444,2023-01-01
50467503922,14,,2023-03-08
50467503922,5,37956200233,2023-07-25
76817381422,4,11055640377,2023-04-08
20292214066,13,49986192177,2023-12-30
63455015300,7,61426496811,2023-12-10
63455015300,12,46492497833,2023-06-16
93054156955,8,,2023-05-03
22057393955,15,74862843166,2023-04-08
22057393955,6,96048591100,2023-09-24
22057393955,13,,2023-01-10
92519012877,13,35800261277,2023-08-20
67786385911,3,85245140277,2023-06-21
67786385911,2,,2023-04-23
67786385911,8,32981794699,2023-02-05
73476631800,2,22726833477,2023-02-25
73476631800,12,,2023-08-29
73476631800,4,48788464611,2023-11-26
23970447222,4,,2023-08-28
23970447222,11,12054756722,2023-09-01
23970447222,8,,2023-08-27
51580552388,12,69099606022,2023-02-13
10942946322,4,43102215055,2023-03-03
10942946322,2,63946639566,2023-05-20
38028425100,16,92323836322,2023-05-21
38028425100,5,,2023-08-07
13377974566,1,32422418788,2023-04-21
13377974566,16,78382660922,2023-11-08
44214638255,13,,2023-06-10
44214638255,9,44135247644,2023-03-03
63822551066,3,10418357011,2023-08-28
99728313100,15,47566534133,2023-10-04
99728313100,14,61408464122,2023-10-09
89084517066,3,27294039811,2023-04-28
89084517066,6,79616796422,2023-07-13
89084517066,12,,2023-03-04
68007910755,5,44639813600,2023-10-12
84838231600,2,41618733100,2023-08-13
84838231600,1,70876171844,2023-11-10
84838231600,9,78656837822,2023-08-29
77672613799,9,45407200233,2023-04-05
77672613799,8,16936814555,2023-01-27
35414126077,2,47383761799,2023-04-14
35414126077,6,,2023-07-25
35414126077,7,,2023-01-14
99977886300,11,,2023-02-11
99977886300,7,58235281400,2023-10-22
99977886300,5,,2023-10-02
87843665677,2,64067556344,2023-03-01
87843665677,9,,2023-06-03
21656825500,5,54510242433,2023-05-16
21656825500,8,,2023-11-28
13946573155,6,50007712577,2023-01-18
37235007499,9,79729290177,2023-01-02
37235007499,15,71127537755,2023-01-15
36517181400,5,,2023-12-30
36517181400,10,68212302188,2023-10-21
63563633200,9,78554144877,2023-10-21
21590092611,16,62761246133,2023-05-29
21590092611,12,,2023-08-18
21590092611,8,,2023-02-23
75704070599,6,93836125411,2023-12-13
23535784700,9,,2023-01-14
23535784700,12,89758388700,2023-12-29
23535784700,4,83238912144,2023-10-29
38846264344,14,,2023-03-21
38846264344,5,,2023-02-05
38846264344,13,99759734000,2023-07-24
12464520900,6,,2023-11-17
97395177066,1,,2023-02-04
97395177066,15,,2023-04-22
97395177066,13,49949879122,2023-02-03
55205744488,5,10088109755,2023-07-06
33535992588,5,73764990677,2023-05-27
45153575811,5,,2023-03-18
45153575811,14,,2023-10-14
45153575811,2,,2023-03-26
67995500066,15,,2023-08-12
67995500066,7,74707109900,2023-11-24
67995500066,4,40587386777,2023-07-21
24763565811,13,,2023-01-16
39041004166,14,,2023-02-19
91151473555,8,,2023-05-07
91151473555,6,86918736044,2023-01-25
31610332133,6,,2023-08-04
31610332133,9,71562257666,2023-07-20
31610332133,11,61500536444,2023-01-16
15324112788,13,46225895322,2023-04-25
22248488466,1,,2023-06-07
35847845300,4,,2023-02-18
35847845300,14,,2023-03-15
35847845300,9,57919667766,2023-02-26
54123097044,3,,2023-03-22
54123097044,4,84597487900,2023-12-03
54123097044,2,88212113555,2023-05-17
96059444211,14,39467047433,2023-07-23
77147996766,14,91085004522,2023-10-08
87506784777,13,79067355366,2023-03-26
87506784777,3,,2023-06-21
32373520711,13,13118072688,2023-09-15
19302569300,4,88240381155,2023-08-20
19302569300,9,86379903399,2023-02-22
19302569300,12,38756726744,2023-02-13
27082827944,3,84753179600,2023-01-15
27082827944,1,,2023-09-15
76652407555,10,,2023-02-22
76652407555,1,,2023-12-03
76652407555,3,,2023-12-24
40039506155,2,11764379333,2023-05-21
40039506155,1,,2023-11-13
40039506155,7,82837025722,2023-12-16
89093272944,16,60825383077,2023-10-30
89093272944,6,,2023-10-28
51250242799,4,80631429266,2023-02-03
51250242799,15,,2023-10-22
60417481533,15,,2023-06-27
60417481533,10,,2023-01-27
60417481533,11,,2023-01-30
45646430966,16,,2023-07-08
45646430966,1,,2023-02-20
99069076499,11,,2023-03-15
58348527188,7,,2023-11-20
64281987977,11,,2023-02-19
75676710855,3,91805530799,2023-10-24
75676710855,2,67695179811,2023-01-14
75676710855,4,34599930499,2023-12-27
84138692699,6,20601897800,2023-07-04
84138692699,2,,2023-05-01
84138692699,11,,2023-02-20
41196389011,10,87574943399,2023-08-03
41196389011,5,,2023-05-21
27448567700,4,,2023-01-26
27448567700,7,11297979888,2023-04-16
27448567700,1,,2023-06-14
51748591411,7,53195267255,2023-12-31
51748591411,4,14239976544,2023-03-05
77662724311,16,10128110777,2023-12-29
77662724311,12,19054476044,2023-06-10
77662724311,9,17656906177,2023-11-09
71569590855,11,,2023-07-19
71569590855,16,94631940022,2023-05-05
71569590855,15,48195072733,2023-08-12
83636425922,16,56387143088,2023-07-22
11034234366,7,,2023-12-19
40402439944,3,,2023-04-22
40402439944,2,95843617755,2023-01-28
40537423311,12,35392390733,2023-09-12
69064301144,5,,2023-09-15
69064301144,16,64841544300,2023-02-26
48908922499,8,,2023-06-08
48908922499,9,,2023-10-30
48908922499,2,,2023-05-09
12000782766,9,16524799533,2023-02-10
12000782766,7,,2023-12-09
88369828755,12,,2023-09-18
88369828755,7,,2023-11-26
36290117800,4,,2023-01-26
36290117800,3,33775712300,2023-09-27
36290117800,5,20129381755,2023-08-26
85256491633,1,,2023-03-06
30513450088,6,,2023-03-28
53195899055,13,37976321500,2023-01-17
14904778100,7,,2023-09-30
14904778100,11,,2023-08-14
14904778100,6,,2023-06-03
90984450988,7,,2023-09-29
90984450988,1,,2023-01-19
42397103677,3,,2023-07-14
35870423655,16,71685320144,2023-11-17
35870423655,4,,2023-08-03
19514179333,2,,2023-07-27
19514179333,1,63606221066,2023-02-16
33447556333,13,,2023-09-18
91274863622,13,60246824177,2023-09-03
57294050499,15,,2023-06-27
66153771366,13,,2023-10-29
66153771366,8,,2023-02-16
94913095600,1,41769197288,2023-06-20
94913095600,12,,2023-07-15
94913095600,4,38998795544,2023-08-29
40562550833,15,87439989844,2023-12-04
40562550833,2,12919850699,2023-06-09
40562550833,14,,2023-01-31
57866257455,15,51592457311,2023-02-13
57866257455,7,54699788344,2023-09-25
36969054377,2,67089315911,2023-06-10
70681591411,6,,2023-12-02
70681591411,7,83295031600,2023-04-07
18431720388,7,83684464577,2023-04-10
18431720388,11,,2023-04-12
14545737244,11,85432990122,2023-06-23
14545737244,14,,2023-10-11
14545737244,13,12004899699,2023-10-23
14075512800,15,69138166266,2023-06-09
37771961777,1,81857164122,2023-09-08
80919278944,15,,2023-01-03
80919278944,13,17184977333,2023-10-28
80919278944,9,,2023-10-25
98568412166,9,16534130855,2023-02-16
98568412166,2,,2023-02-08
98568412166,8,,2023-05-24
94550061466,11,,2023-04-25
94550061466,2,55907681877,2023-09-13
28006395399,7,19708678922,2023-08-07
28006395399,6,76424778300,2023-06-19
21583216522,7,82980182499,2023-02-07
21583216522,5,61457146033,2023-03-20
21583216522,8,93228595800,2023-10-07
80769432488,2,99608375488,2023-03-23
80769432488,11,,2023-12-15
