ID_INSTALACAO,CPF_RESPONSAVEL_INTERNO,DATA_RESERVA,HORARIO_INICIO,HORARIO_FIM
12,88646919877,2023-10-26,15:30:00,16:56:00
12,47572855822,2023-08-20,09:00:00,10:38:00
20,32011667311,2023-05-26,15:30:00,17:17:00
4,54347836388,2023-04-12,08:30:00,10:00:00
18,83344371299,2023-10-05,06:30:00,07:40:00
14,46189624100,2023-10-02,18:30:00,19:46:00
10,23029346799,2023-01-24,12:30:00,14:07:00
20,81303414500,2023-06-30,09:30:00,10:47:00
9,87517266455,2023-09-28,19:00:00,20:09:00
15,90642797644,2023-05-28,12:30:00,14:03:00
6,84616494944,2023-10-11,13:00:00,14:09:00
16,56585131700,2023-08-01,13:30:00,14:49:00
6,90075573277,2023-10-07,20:30:00,22:00:00
12,79553961899,2023-08-26,08:00:00,09:43:00
7,17929491700,2023-02-16,21:00:00,22:00:00
20,91485558944,2023-12-09,08:00:00,09:32:00
2,80959866400,2023-03-07,11:30:00,13:04:00
8,79846416411,2023-03-04,06:30:00,08:03:00
18,27783259300,2023-09-25,21:30:00,22:00:00
12,18612559000,2023-09-01,20:00:00,21:43:00
15,88791563733,2023-10-26,16:30:00,17:54:00
7,17837561100,2023-06-20,17:00:00,18:58:00
9,86810502655,2023-08-04,15:00:00,16:45:00
19,21909135511,2023-02-18,06:30:00,08:28:00
18,59566646066,2023-06-26,20:30:00,21:52:00
3,26691096088,2023-11-16,16:30:00,18:24:00
18,52797588255,2023-11-14,13:30:00,15:07:00
13,94471824966,2023-03-18,12:30:00,13:33:00
7,75807515699,2023-08-07,14:00:00,15:56:00
13,99003618222,2023-11-01,19:00:00,20:45:00
19,91033855822,2023-03-26,09:00:00,10:22:00
8,32248414277,2023-04-04,20:00:00,21:21:00
3,13165984700,2023-12-05,21:00:00,22:00:00
15,35676428711,2023-04-24,13:00:00,14:21:00
1,55834665966,2023-08-22,11:00:00,12:57:00
18,12484643544,2023-11-14,18:30:00,20:17:00
20,22943868177,2023-08-13,09:00:00,10:09:00
8,81417440899,2023-09-14,20:00:00,21:46:00
4,67891113955,2023-04-10,16:30:00,18:07:00
19,74998383744,2023-04-19,20:30:00,21:58:00
15,62808505011,2023-02-15,07:00:00,08:35:00
19,91665672622,2023-11-05,21:00:00,22:00:00
4,35952117311,2023-05-31,11:00:00,12:49:00
7,17871781455,2023-10-03,12:30:00,13:49:00
16,22900805600,2023-11-03,21:30:00,22:00:00
2,57050458599,2023-06-24,06:30:00,08:22:00
9,68615485533,2023-01-15,16:30:00,18:23:00
9,38976415266,2023-01-08,11:00:00,12:52:00
10,54438107233,2023-03-08,21:00:00,22:00:00
18,97384511088,2023-02-20,13:00:00,14:59:00
18,55034966988,2023-11-15,17:30:00,19:17:00
16,99513922611,2023-09-17,09:00:00,10:03:00
14,42981947600,2023-11-01,14:30:00,15:35:00
12,27305722366,2023-04-05,15:00:00,16:07:00
8,23084921555,2023-12-29,18:00:00,19:01:00
16,70916303788,2023-05-31,17:00:00,18:25:00
12,40619423799,2023-10-18,20:30:00,21:38:00
7,62785735988,2023-12-26,15:30:00,16:37:00
5,76980812655,2023-02-16,12:30:00,14:00:00
4,16222948588,2023-09-16,15:30:00,16:50:00
8,96068152699,2023-07-17,19:30:00,21:27:00
1,28268670833,2023-09-29,19:30:00,20:46:00
4,67868039200,2023-12-13,08:30:00,10:16:00
16,20832319888,2023-10-02,10:00:00,11:44:00
6,84045323200,2023-06-24,17:00:00,18:33:00
16,84779422855,2023-05-20,06:30:00,08:30:00
8,36503316833,2023-08-02,16:00:00,17:29:00
15,99195810033,2023-08-10,06:00:00,07:13:00
8,56701546655,2023-02-23,16:00:00,17:21:00
5,85581500877,2023-11-16,20:00:00,21:30:00
20,80779613044,2023-06-27,06:00:00,07:48:00
14,84607531588,2023-12-13,16:00:00,17:39:00
5,79912051500,2023-06-15,06:30:00,07:38:00
12,79616923988,2023-11-02,13:00:00,14:05:00
19,90612871111,2023-06-19,19:00:00,20:39:00
10,20301750999,2023-01-03,14:30:00,16:02:00
10,97875637399,2023-05-17,14:30:00,15:48:00
6,47006427422,2023-12-16,12:30:00,13:39:00
5,90668275644,2023-09-18,21:00:00,22:00:00
19,50215297900,2023-04-06,20:30:00,21:50:00
7,83246889511,2023-09-15,17:00:00,18:22:00
12,37279578322,2023-12-20,10:00:00,11:11:00
10,67062523799,2023-01-09,07:30:00,08:36:00
12,83733679422,2023-12-02,06:30:00,07:38:00
19,99365650533,2023-01-24,15:00:00,16:43:00
20,40564382933,2023-12-05,07:00:00,08:39:00
9,73216307811,2023-07-13,12:00:00,13:12:00
19,75346917700,2023-11-10,12:00:00,13:02:00
20,29823708322,2023-11-04,15:30:00,16:47:00
19,54846571566,2023-05-15,13:30:00,14:37:00
11,29463995911,2023-06-04,09:30:00,10:49:00
10,13696676800,2023-10-25,16:00:00,17:44:00
14,22149839455,2023-04-28,21:00:00,22:00:00
14,86292304877,2023-03-22,14:30:00,16:08:00
11,81953418299,2023-08-21,11:30:00,12:48:00
7,51928872755,2023-12-25,17:30:00,19:21:00
9,56989172488,2023-06-07,18:30:00,20:07:00
13,72155888400,2023-10-22,19:30:00,20:33:00
16,13547866377,2023-03-22,06:00:00,07:16:00
16,55822326566,2023-02-08,06:30:00,08:16:00
13,25847848900,2023-03-05,10:00:00,11:44:00
17,68621920199,2023-03-30,16:30:00,17:43:00
15,98678673000,2023-10-13,09:00:00,10:40:00
12,94384615233,2023-12-13,20:00:00,21:24:00
1,17613426733,2023-06-18,17:30:00,18:54:00
16,83678512933,2023-10-04,21:30:00,22:00:00
14,44246746222,2023-05-14,09:30:00,10:40:00
9,37658417655,2023-01-27,14:00:00,15:33:00
3,65992009233,2023-01-08,16:00:00,17:59:00
7,10442137100,2023-07-18,21:00:00,22:00:00
14,75724935300,2023-03-02,12:00:00,13:09:00
4,94619765422,2023-06-29,09:30:00,11:18:00
3,11432126577,2023-01-30,11:30:00,13:03:00
9,78230413166,2023-01-07,09:30:00,10:53:00
3,21395617322,2023-04-16,19:30:00,20:35:00
14,55340915255,2023-04-10,19:30:00,21:24:00
11,77450396300,2023-11-26,21:30:00,22:00:00
7,35563630388,2023-02-17,15:00:00,16:13:00
5,21374766900,2023-09-06,16:30:00,17:41:00
19,30223647766,2023-06-07,14:00:00,15:17:00
8,12947914600,2023-01-20,21:00:00,22:00:00
7,86813833299,2023-06-10,07:00:00,08:13:00
19,94819701244,2023-04-17,19:30:00,20:57:00
11,47595650355,2023-05-10,15:00:00,16:15:00
5,73704025255,2023-08-12,09:00:00,10:06:00
6,46802012233,2023-06-07,13:00:00,14:12:00
15,95901701299,2023-08-16,21:30:00,22:00:00
8,32984813600,2023-01-30,15:30:00,16:36:00
13,53070567611,2023-04-07,21:30:00,22:00:00
11,30477178777,2023-07-07,12:30:00,14:10:00
17,60880364866,2023-10-26,13:30:00,14:46:00
20,82362671800,2023-10-20,15:30:00,16:33:00
15,85257445144,2023-01-06,07:30:00,08:36:00
16,84616578611,2023-03-25,21:00:00,22:00:00
1,91604892277,2023-12-26,19:00:00,20:48:00
7,29594548988,2023-04-21,13:30:00,15:13:00
12,28427723266,2023-05-04,17:30:00,18:40:00
1,76005359633,2023-05-18,20:00:00,21:43:00
4,74586221566,2023-05-04,18:30:00,19:49:00
4,72544358977,2023-09-02,11:00:00,12:24:00
2,58445779577,2023-12-09,12:00:00,13:40:00
14,47465654300,2023-12-10,10:00:00,11:45:00
11,23227414188,2023-06-08,19:30:00,21:17:00
20,24520750277,2023-10-22,08:00:00,09:01:00
19,72129910744,2023-11-19,10:30:00,12:10:00
10,70712064655,2023-02-11,14:30:00,15:35:00
15,81025091122,2023-06-18,13:30:00,15:01:00
12,38411870800,2023-03-24,21:30:00,22:00:00
1,21602209900,2023-01-26,08:00:00,09:07:00
19,36299001511,2023-10-18,10:00:00,11:18:00
14,42156147166,2023-10-23,12:00:00,13:36:00
9,82756713100,2023-08-03,17:30:00,19:15:00
14,63942342300,2023-08-18,20:30:00,22:00:00
6,63525954999,2023-02-13,19:00:00,20:57:00
1,23598113477,2023-04-28,09:00:00,10:40:00
15,50920649277,2023-09-03,18:30:00,20:17:00
6,86726907022,2023-03-14,09:00:00,10:11:00
6,58239860766,2023-05-20,06:30:00,07:45:00
17,72157828088,2023-02-10,17:30:00,19:18:00
4,31344412333,2023-05-09,17:00:00,18:34:00
3,39897748322,2023-06-30,08:30:00,10:14:00
17,60745978044,2023-03-17,20:00:00,21:09:00
4,34281337300,2023-09-25,15:30:00,16:35:00
6,23094324822,2023-02-04,16:30:00,18:24:00
12,26973763300,2023-04-12,20:00:00,21:05:00
12,77009872899,2023-12-19,15:00:00,16:39:00
3,67839852611,2023-07-19,07:30:00,09:13:00
4,13096696355,2023-07-05,17:30:00,18:41:00
4,82412276044,2023-11-05,09:00:00,10:17:00
1,89057432855,2023-08-07,15:30:00,17:17:00
10,53425715377,2023-03-11,12:00:00,13:18:00
7,28783894766,2023-11-19,19:30:00,20:30:00
13,36642598900,2023-03-13,07:30:00,08:33:00
2,45459470855,2023-03-31,08:30:00,09:35:00
13,35390262233,2023-06-29,18:00:00,19:20:00
7,72133796155,2023-08-21,09:30:00,11:25:00
10,68982207300,2023-11-05,20:30:00,22:00:00
12,65583922166,2023-08-14,08:30:00,10:30:00
15,46099613000,2023-05-21,20:30:00,21:33:00
4,87838907266,2023-10-06,08:00:00,09:36:00
4,11589596800,2023-08-29,17:30:00,19:27:00
1,30973343000,2023-09-13,21:00:00,22:00:00
2,79101577200,2023-12-12,18:00:00,19:09:00
5,91727049777,2023-06-03,06:30:00,07:52:00
4,88995868022,2023-02-18,13:30:00,15:24:00
1,11121523266,2023-01-22,12:00:00,14:00:00
20,28041901022,2023-09-30,09:30:00,11:04:00
18,53500796466,2023-09-15,16:00:00,17:27:00
18,72523907488,2023-05-13,06:30:00,08:22:00
4,37161528388,2023-06-18,16:30:00,18:22:00
7,89806206400,2023-02-25,06:30:00,08:17:00
9,17310344900,2023-12-21,12:00:00,13:08:00
1,63897261122,2023-03-30,07:00:00,08:14:00
2,31441886700,2023-05-05,12:00:00,13:11:00
11,21014634744,2023-05-22,21:00:00,22:00:00
7,77336287766,2023-07-13,08:30:00,09:51:00
4,90736824522,2023-06-29,21:30:00,22:00:00
2,84875202000,2023-02-14,14:00:00,15:17:00
2,68161476000,2023-04-25,11:30:00,12:50:00
13,89410683200,2023-05-02,17:30:00,18:59:00
5,84330457922,2023-09-17,20:30:00,21:32:00
19,13477855744,2023-09-09,06:00:00,07:32:00
12,75719843355,2023-07-18,13:00:00,14:11:00
12,48397212033,2023-09-19,07:00:00,08:40:00
15,83569341177,2023-07-31,09:30:00,11:17:00
1,96409526999,2023-07-07,15:30:00,17:18:00
6,54240160811,2023-01-27,17:30:00,18:57:00
9,50570054722,2023-03-01,16:30:00,18:21:00
11,95300803444,2023-08-17,20:30:00,22:00:00
9,35758097044,2023-03-30,13:30:00,15:10:00
5,84750141355,2023-02-14,15:30:00,16:49:00
17,30828440499,2023-10-15,06:00:00,07:46:00
5,57160199866,2023-05-20,20:30:00,21:36:00
19,55306459922,2023-03-22,09:00:00,10:28:00
2,85662252288,2023-05-21,14:00:00,15:38:00
7,56346851411,2023-01-01,08:30:00,09:52:00
18,22936919000,2023-04-13,10:30:00,11:51:00
11,57262563100,2023-10-07,13:30:00,14:59:00
19,28204850499,2023-08-21,21:30:00,22:00:00
17,47623591066,2023-04-28,21:00:00,22:00:00
8,10169165744,2023-11-10,17:30:00,18:48:00
4,49833203344,2023-10-10,12:30:00,14:03:00
15,96067102388,2023-02-15,11:30:00,13:05:00
5,91744204455,2023-07-08,09:30:00,11:02:00
11,76171340533,2023-01-19,18:30:00,20:04:00
6,48074104077,2023-02-26,08:30:00,10:23:00
3,44368451333,2023-07-28,12:30:00,13:38:00
3,69240785755,2023-09-15,21:30:00,22:00:00
9,51341084633,2023-05-17,06:00:00,07:14:00
7,19929470588,2023-07-24,14:00:00,15:55:00
14,69584260022,2023-08-28,12:30:00,13:38:00
8,92842156099,2023-11-01,06:30:00,08:04:00
14,83105106088,2023-10-08,09:30:00,11:17:00
9,92325946411,2023-04-07,19:00:00,20:52:00
12,10598820355,2023-05-15,15:30:00,17:12:00
2,72432441222,2023-12-16,13:00:00,14:41:00
8,45231269255,2023-09-21,17:30:00,19:14:00
8,54620148722,2023-04-24,15:00:00,16:29:00
13,82486461222,2023-07-11,21:00:00,22:00:00
5,35851970944,2023-08-18,08:00:00,09:56:00
8,24481143400,2023-05-14,18:00:00,19:28:00
14,69099445500,2023-04-07,13:00:00,14:58:00
11,65744270100,2023-08-18,20:00:00,21:14:00
15,26150332477,2023-09-26,19:30:00,20:38:00
17,60806967544,2023-06-26,12:00:00,13:05:00
11,40100351888,2023-06-13,11:00:00,12:05:00
12,99869699644,2023-09-27,20:00:00,21:32:00
14,91744373722,2023-02-24,06:00:00,07:48:00
2,26484699077,2023-04-06,18:00:00,19:31:00
4,62700007266,2023-07-29,06:00:00,07:09:00
2,93072646944,2023-03-31,17:30:00,19:15:00
18,55145962900,2023-02-01,06:30:00,07:46:00
20,75844437966,2023-07-30,10:00:00,11:00:00
14,56771554544,2023-09-18,17:30:00,19:28:00
11,43805543500,2023-09-26,07:00:00,08:38:00
5,93375235233,2023-09-15,17:00:00,18:49:00
1,97785877011,2023-01-23,13:00:00,14:48:00
6,57849828500,2023-02-07,13:00:00,14:51:00
20,80967937055,2023-12-27,13:30:00,14:46:00
13,94635803600,2023-08-30,15:30:00,17:07:00
13,34960283944,2023-05-28,06:30:00,08:23:00
12,68365770144,2023-01-21,21:00:00,22:00:00
11,56633359199,2023-07-31,10:30:00,11:33:00
11,63862341700,2023-02-02,08:30:00,09:57:00
15,32020674199,2023-11-25,15:00:00,16:06:00
1,28643600633,2023-03-13,15:30:00,16:38:00
10,34665995711,2023-07-05,10:00:00,11:50:00
13,69416853444,2023-07-07,09:30:00,10:32:00
11,62065571544,2023-07-29,09:30:00,10:41:00
12,25597774877,2023-09-04,19:00:00,20:44:00
5,49707647866,2023-01-21,15:00:00,16:50:00
8,24165828011,2023-10-24,06:30:00,07:56:00
12,57540187622,2023-01-19,08:30:00,10:27:00
7,19902817533,2023-04-22,17:00:00,18:27:00
15,17993720733,2023-03-07,16:30:00,17:31:00
20,65137154311,2023-04-02,11:30:00,12:55:00
13,67871446366,2023-03-28,11:30:00,12:43:00
17,65131472044,2023-02-03,19:30:00,21:14:00
7,46914187177,2023-10-11,17:30:00,18:45:00
17,26573705511,2023-06-24,20:00:00,21:19:00
3,82557098944,2023-11-28,13:30:00,15:17:00
8,78056022555,2023-12-21,16:00:00,17:13:00
20,61845925566,2023-02-15,07:30:00,09:06:00
19,60920325899,2023-10-14,08:30:00,10:11:00
20,91102210855,2023-08-18,21:00:00,22:00:00
10,90739062299,2023-03-30,21:30:00,22:00:00
9,11354160600,2023-12-16,07:30:00,08:58:00
19,62293756300,2023-09-19,09:00:00,10:01:00
1,16853035522,2023-12-03,20:30:00,21:46:00
6,96066517544,2023-05-30,12:30:00,14:13:00
2,94242947866,2023-05-21,06:00:00,07:18:00
15,76362302911,2023-10-18,17:00:00,18:03:00
6,28375370122,2023-08-04,10:30:00,12:06:00
14,45108326722,2023-06-23,07:30:00,09:01:00
20,33169443700,2023-01-02,20:00:00,21:48:00
18,27020816811,2023-02-16,12:00:00,13:50:00
5,54576101522,2023-06-22,07:00:00,08:42:00
10,70261047488,2023-10-23,15:30:00,16:32:00
11,23544924211,2023-05-08,11:30:00,13:03:00
9,89079038166,2023-05-21,11:30:00,12:43:00
10,68945004955,2023-08-21,13:00:00,14:24:00
6,86353165255,2023-05-31,06:30:00,08:06:00
10,32486330188,2023-09-03,07:30:00,09:27:00
10,53219434000,2023-06-13,21:30:00,22:00:00
20,25187605711,2023-09-23,11:30:00,12:36:00
7,74811002411,2023-04-15,06:30:00,08:13:00
20,41624820044,2023-08-28,09:30:00,11:24:00
8,90897331400,2023-06-03,14:30:00,16:14:00
10,81224951922,2023-06-08,12:00:00,13:16:00
17,99035052722,2023-04-10,15:30:00,16:32:00
3,21028710377,2023-02-14,08:30:00,09:37:00
5,90033042200,2023-04-22,11:30:00,13:22:00
9,11990841744,2023-08-18,15:30:00,16:32:00
2,44001657522,2023-04-09,09:00:00,10:15:00
8,15824505444,2023-05-05,07:00:00,08:19:00
4,87188139500,2023-02-27,07:30:00,08:34:00
7,99289211133,2023-01-14,09:30:00,11:15:00
15,87148803855,2023-10-24,17:30:00,18:30:00
13,66978251700,2023-02-24,17:00:00,18:19:00
12,22717977644,2023-04-11,14:30:00,15:44:00
13,96469561577,2023-12-05,16:30:00,18:21:00
17,39448582988,2023-12-10,16:30:00,17:33:00
10,80616456966,2023-03-05,08:30:00,09:52:00
11,74135139199,2023-02-04,14:30:00,15:57:00
9,31262093866,2023-01-20,21:00:00,22:00:00
15,60887264400,2023-08-20,07:30:00,08:38:00
8,55372577933,2023-10-27,15:30:00,17:22:00
20,65617780222,2023-10-05,15:00:00,17:00:00
13,19660025211,2023-03-15,18:00:00,19:16:00
15,76941266711,2023-05-04,09:00:00,10:37:00
3,47022173300,2023-07-24,06:30:00,07:39:00
9,61270002200,2023-04-27,12:30:00,14:01:00
7,58611445166,2023-09-16,11:30:00,12:30:00
11,16306721900,2023-03-12,20:30:00,22:00:00
20,67070142500,2023-09-02,10:30:00,12:05:00
5,61890597400,2023-10-03,06:00:00,07:59:00
5,23664538922,2023-02-27,09:30:00,11:00:00
3,88499966677,2023-11-16,20:30:00,22:00:00
11,20519761044,2023-07-27,11:00:00,12:52:00
15,71444167900,2023-09-05,19:00:00,20:37:00
6,32257024711,2023-05-03,15:30:00,17:10:00
20,40725249999,2023-12-23,16:00:00,17:33:00
10,14431836100,2023-07-23,18:00:00,19:24:00
9,35557714699,2023-02-26,18:00:00,19:59:00
12,25646864277,2023-03-16,09:00:00,10:46:00
15,61259668877,2023-06-15,11:00:00,12:41:00
19,30310248266,2023-04-27,20:30:00,22:00:00
11,46112363233,2023-08-25,15:00:00,16:15:00
14,77754779977,2023-04-11,16:00:00,17:50:00
11,52068899466,2023-02-01,06:00:00,07:16:00
12,80586076499,2023-10-18,18:00:00,19:53:00
11,76414150322,2023-04-01,18:30:00,20:08:00
1,32508987599,2023-08-23,19:30:00,21:18:00
8,44907967655,2023-06-15,19:00:00,20:24:00
15,53648393111,2023-07-31,10:30:00,12:27:00
13,25103255666,2023-12-17,14:00:00,15:16:00
14,10302187499,2023-08-16,11:30:00,12:46:00
6,32200096111,2023-01-07,08:00:00,09:54:00
16,87099011244,2023-07-19,11:30:00,13:24:00
15,64793133211,2023-08-03,18:00:00,19:27:00
3,49101268488,2023-11-11,18:00:00,19:37:00
16,34294175700,2023-12-19,08:30:00,09:48:00
8,65384733344,2023-11-30,11:00:00,12:59:00
11,87502348544,2023-10-03,20:00:00,21:23:00
20,70266820244,2023-05-22,21:00:00,22:00:00
12,31745077233,2023-01-05,10:00:00,11:31:00
9,16571447200,2023-07-08,14:00:00,15:51:00
6,50887590299,2023-08-09,15:30:00,16:58:00
19,11973139233,2023-07-05,09:00:00,10:36:00
16,14410539566,2023-07-26,07:30:00,08:44:00
19,88885779633,2023-02-21,17:00:00,18:52:00
3,26352472855,2023-09-23,10:30:00,12:02:00
4,42017307788,2023-10-27,14:00:00,15:06:00
17,53206317822,2023-01-10,17:00:00,18:01:00
5,68635137300,2023-07-04,13:00:00,14:15:00
3,43313749555,2023-10-21,15:00:00,16:13:00
5,79022162911,2023-08-11,19:30:00,20:37:00
10,14507390088,2023-10-24,21:00:00,22:00:00
3,37462470044,2023-07-17,12:00:00,13:49:00
7,50990711399,2023-04-09,15:00:00,16:47:00
13,21640481644,2023-03-03,15:00:00,16:23:00
3,27720409099,2023-09-06,19:00:00,20:32:00
20,81157924033,2023-12-02,13:00:00,14:37:00
2,40204190277,2023-07-22,07:30:00,09:21:00
7,56712899800,2023-03-16,14:00:00,15:02:00
2,24483257900,2023-06-23,21:00:00,22:00:00
8,90424818033,2023-10-10,19:00:00,20:23:00
20,82622805988,2023-12-05,10:00:00,11:33:00
14,91779771066,2023-06-23,16:00:00,17:44:00
16,13555243422,2023-12-22,19:30:00,21:13:00
20,90043575300,2023-05-12,19:00:00,20:53:00
2,84052428999,2023-07-04,14:30:00,16:03:00
5,75758807122,2023-11-21,16:00:00,17:55:00
16,48633705399,2023-08-31,09:30:00,10:42:00
6,28212318066,2023-08-27,17:30:00,19:29:00
20,53140664677,2023-06-18,10:30:00,11:30:00
4,66813380466,2023-08-24,13:00:00,14:29:00
5,51413240522,2023-08-24,21:00:00,22:00:00
15,77884856599,2023-02-10,17:00:00,18:43:00
19,83456062966,2023-03-01,17:30:00,18:47:00
10,74860888199,2023-03-11,16:30:00,18:20:00
5,38997683533,2023-07-07,14:00:00,15:21:00
10,69606746111,2023-11-11,06:30:00,07:49:00
3,63349269855,2023-02-25,15:30:00,16:48:00
17,11898779455,2023-01-23,12:30:00,14:12:00
8,56058690355,2023-01-22,20:00:00,21:04:00
14,67975972422,2023-02-12,13:30:00,15:26:00
18,68220199799,2023-01-27,11:30:00,13:15:00
3,79288048400,2023-02-28,12:00:00,13:31:00
5,75867964833,2023-12-10,09:00:00,10:39:00
13,81705481011,2023-06-29,09:00:00,10:57:00
15,55949695000,2023-11-27,09:30:00,11:21:00
12,48136499044,2023-01-18,13:00:00,14:35:00
18,35106227077,2023-10-22,13:00:00,14:42:00
9,23200203577,2023-08-25,07:00:00,08:11:00
1,94611568399,2023-08-26,16:30:00,18:07:00
10,40769297999,2023-11-11,21:30:00,22:00:00
13,64441772944,2023-06-13,14:30:00,16:24:00
7,73586174100,2023-07-03,20:30:00,22:00:00
16,78569555622,2023-02-03,11:00:00,12:42:00
6,63480162933,2023-01-31,14:00:00,15:24:00
1,20726410200,2023-03-13,08:00:00,09:27:00
14,57387763211,2023-10-12,20:30:00,22:00:00
18,46432337100,2023-09-03,18:30:00,20:29:00
20,21930688100,2023-08-13,11:30:00,13:08:00
20,67867659044,2023-02-14,13:00:00,14:03:00
12,72302902955,2023-06-11,13:30:00,14:52:00
16,40346248333,2023-12-19,17:00:00,18:01:00
5,15267777033,2023-06-26,08:30:00,10:13:00
7,94220774000,2023-06-13,08:30:00,10:29:00
14,78849755211,2023-10-04,13:00:00,14:00:00
12,74314771633,2023-06-15,21:00:00,22:00:00
14,24791071400,2023-08-12,14:00:00,15:44:00
16,85560693399,2023-02-13,12:30:00,13:32:00
20,71091080311,2023-05-01,14:30:00,15:50:00
18,56731256077,2023-03-01,09:30:00,11:26:00
